OBJECTID,REF_NO_,WELL_NO_,SPUD_LATID,SPUD_LONGI,DDLATITUDE,DDLONGITUD,WELL_CLASS,AREA,OPERATOR,RIG_NAME,TD__MD_,RIG_DATUM,WATER_DEPT,UNIT,SPUD_DATE,RIG_RELEAS,WELL_STATU
111,111,50/3-3,"51° 54' 34.188""N","06° 35' 46.903""W",51.9094967,-6.5963619,Exploration,North Celtic Sea Basin,Marathon,Western Pacesetter IV,4800,85,212,ft,03/06/1991,01/07/1991,P & A with/without shows or untested pay
112,112,48/30-2,"51° 06' 26.634"" N","08° 09' 49.769"" W",51.1073983,-8.1638247,Exploration,North Celtic Sea Basin,Marathon,Ocean Liberator,8500,82,340,ft,08/07/1992,23/08/1992,P & A with/without shows or untested pay
113,113,48/19-2,"51°25' 59.366""N","08°17' 46.916""W",51.4331572,-8.2963656,Exploration,North Celtic Sea Basin,Bula,Ocean Liberator,4500,82,291,ft,26/08/1992,09/10/1992,P & A with/without shows or untested pay
114,114,48/28-2,"51° 05' 03.708"" N","08° 26' 13.349"" W",51.0843633,-8.4370414,Exploration,North Celtic Sea Basin,Marathon,Ocean Bounty,7153,82,342,ft,02/07/1993,31/07/1993,P & A with/without shows or untested pay
115,115,50/12-3,"51°30' 05.710 ""N","06°38' 37.711 ""W",51.5015861,-6.6438086,Exploration,North Celtic Sea Basin,Mobil,Ocean Alliance,10648,85,258,ft,13/07/1993,25/08/1993,P & A with/without shows or untested pay
116,116,50/2-1,"51° 52' 04.999"" N","06° 44' 50.227"" W",51.8680553,-6.7472853,Exploration,North Celtic Sea Basin,Marathon,Ocean Bounty,4050,82,233,ft,02/08/1993,24/08/1993,P & A with/without shows or untested pay
117,117,50/10-1,"51° 44' 25.604"" N","06° 11' 46.039"" W",51.7404456,-6.1961219,Exploration,North Celtic Sea Basin,Mobil,Maersk Vinlander,8723,75,293,ft,05/08/1994,19/09/1994,P & A with/without shows or untested pay
118,118,42/8-1A,"52° 46' 28.542"" N","05° 32' 00.216"" W",52.774595,-5.5333933,Exploration,Central Irish Sea Basin,BHP,Maersk Vinlander,8948,75,225,ft,23/09/1994,16/10/1994,P & A with/without shows or untested pay
119,119,41/30-1,"52° 08' 34.14"" N","06° 07' 41.69"" W",52.1428167,-6.1282472,Exploration,Central Irish Sea Basin,Marathon,Kan Tan IV,7343,85,248,ft,10/06/1995,07/07/1995,P & A with/without shows or untested pay
120,120,49/11-2,"51°30' 01.737 "" N","07° 55' 55.931"" W",51.5004825,-7.9322031,Exploration,North Celtic Sea Basin,Marathon,Kan Tan IV,3200,85,273,ft,16/07/1995,29/07/1995,P & A with/without shows or untested pay
121,121,48/25-3,"51° 19' 37.509"" N","08° 05' 54.359"" W",51.3270858,-8.0984331,Appraisal,North Celtic Sea Basin,Marathon,Kan Tan IV,3552,85,305,ft,30/07/1995,26/08/1995,Gas Producer
122,122,50/6-3,"51° 44' 59.560"" N","06° 55' 34.510"" W",51.7498778,-6.9262528,Exploration,North Celtic Sea Basin,Marathon,Kan Tan IV,5968,85,237,ft,27/08/1995,16/09/1995,P & A with/without shows or untested pay
123,123,56/15-1,"50° 32' 41.057"" N","09° 11' 50.833"" W",50.5447381,-9.1974536,Exploration,North Celtic Sea Basin,Chevron,Kan Tan IV,8335,85,404,ft,10/11/1995,22/12/1995,P & A with/without shows or untested pay
124,124,27/05/2001,"53° 55' 09.706"" N","11° 06' 27.595"" W",53.9193628,-11.1076653,Exploration,Slyne Trough,Enterprise Oil,Petrolia,1910,26.5,200.5,m,29/04/1996,11/06/1996,P & A with/without shows or untested pay
125,125,18/20-1,"54° 20' 50.882""N","11° 05' 35.064""W",54.3474672,-11.0930733,Exploration,Slyne Trough,Enterprise Oil,Petrolia,4372,27,199.2,m,17/06/1996,10/11/1996,P & A with/without shows or untested pay
126,126,26/28-A1,"53° 03' 15.753"" N","12° 34' 31.804"" W",53.0543758,-12.5755011,Appraisal,Porcupine Basin,Statoil,JW McLean,3384,26.8,375,m,13/04/1997,27/09/1997,P & A Oil Well
127,126,26/28-A1Z,"53° 03' 15.753"" N","12° 34' 31.804"" W",53.0543758,-12.5755011,Appraisal,Porcupine Basin,Statoil,JW McLean,3360,26.8,375,m,13/04/1997,27/09/1997,P & A Oil Well
128,127,26/28-A2,"53° 03' 15.44"" N","12° 34' 26.16"" W",53.0542889,-12.5739333,Appraisal,Porcupine Basin,Statoil,JW McLean,4984,26.8,375,m,09/04/1997,02/10/1997,P & A with/without shows or untested pay
129,128,35/17-1,"52° 22' 52.606""N","12° 40' 37.466""W",52.3812794,-12.6770739,Exploration,Porcupine Basin,Total,Sovereign Explorer,4305,26.5,623.5,m,03/07/1997,24/08/1997,P & A with/without shows or untested pay
130,129,35/30-1,"52° 05' 40.865""N","12° 07' 21.887""W",52.0946847,-12.1227464,Exploration,Porcupine Basin,Marathon,Jack Bates,17110,90,2296,ft,23/07/1997,14/11/1997,P & A with/without shows or untested pay
131,130,33/17-2A,"53° 22' 40.291""N","05° 47' 46.79""W",53.3778586,-5.7963306,Exploration,Kish Bank Basin,Enterprise Oil,Arch Rowan,1310,35.8,50.2,m,19/12/1997,31/12/1997,P & A with/without shows or untested pay
132,131,18/20-2z,"54° 20' 23.484"" N","11° 03' 20.763"" W",54.3398567,-11.0557675,Appraisal,Slyne Trough,Enterprise Oil,SEDCO 711,3731,26.4,348.6,m,30/06/1998,11/09/1998,Suspended Gas Well
133,132,18/25-1,"54° 19' 12.448"" N","11° 02' 48.920"" W",54.3201244,-11.0469222,Appraisal,Slyne Trough,Enterprise Oil,SEDCO 711,3770,26.4,336.1,m,01/05/1999,17/08/1999,Suspended Gas Well
134,133,18/25-2,"54° 13' 48.165"" N","11° 07' 08.989"" W",54.2300458,-11.1191636,Exploration,Slyne Trough,Enterprise Oil,SEDCO 711,2965.5,26.4,299,m,18/08/1999,13/10/1999,P & A with/without shows or untested pay
135,134,18/20-3,"54° 20' 54.744"" N","11° 02' 09.421"" W",54.34854,-11.0359503,Appraisal,Slyne Trough,Enterprise Oil,Sedco 711,3790,26.4,355.2,m,17/04/2000,30/06/2000,Suspended Gas Well
136,135,18/20-4,"54° 20' 22.675"" N","11° 03' 20.126"" W",54.3396319,-11.0555906,Appraisal,Slyne Trough,Enterprise Oil,Sedco 711,4061,26.4,348.7,m,01/07/2000,10/09/2000,Suspended Gas Well
137,136,49/9-6,"51° 40' 51.443"" N","07° 20' 27.924"" W",51.6809564,-7.34109,Appraisal/Developm,North Celtic Sea Basin,Providence Resources,Ocean Nomad,6460,83,253,ft,01/07/2000,04/09/2000,Suspended Oil Well
138,136,49/9-6z,"51° 40' 51.443"" N","07° 20' 27.924"" W",51.6809564,-7.34109,Appraisal/Developm,North Celtic Sea Basin,Providence Resources,Ocean Nomad,6866,83,253,ft,01/07/2000,13/09/2000,Suspended Oil Well
139,137,5/22-1,"56° 11' 12.795"" N","09° 45' 06.687"" W",56.1868875,-9.7518575,Exploration,Rockall Trough,Enterprise Oil,West Navion,4070,36,1623,m,26/03/2001,28/04/2001,P & A with/without shows or untested pay
140,138,18/25-3,"54° 19' 14.467"" N","11° 04' 09.378"" W",54.3206853,-11.0692717,Appraisal,Slyne Trough,Enterprise Oil,Sedco 711,3763,26.4,337.6,m,09/04/2001,27/07/2001,Suspended Gas Well
141,139,48/25-4,"51° 19' 25.319"" N","08° 06' 51.516"" W",51.3236997,-8.11431,Appraisal/Developmt,North Celtic Sea Basin,Marathon,Ton van Langeveld,4137,106,305,ft,25/04/2001,10/06/2001,Gas Producer
